p,h_avg,h_max,n_avg,n_max,t_avg,t_max,singleton_ratio,nonsingletonClasses
383,12.754569190600522,54,11.973890339425587,53,2.265625,4,0.6214099216710183,64
389,12.269922879177377,49,12.030848329048844,55,2.2753623188405796,4,0.596401028277635,69
397,11.20654911838791,46,12.163727959697733,57,2.3055555555555554,6,0.5818639798488665,72
401,12.71072319201995,48,12.546134663341645,51,2.28125,4,0.6359102244389028,64
409,13.188264058679707,48,12.7359413202934,45,2.3015873015873014,5,0.6454767726161369,63
419,12.384248210023866,50,12.329355608591886,51,2.25,4,0.5704057279236276,80
421,12.3729216152019,44,13.719714964370546,60,2.257575757575758,4,0.6460807600950119,66
433,13.729792147806005,56,12.778290993071593,49,2.3380281690140845,5,0.6166281755196305,71
431,13.178654292343387,64,13.055684454756381,54,2.1470588235294117,4,0.6612529002320185,68
439,13.079726651480637,48,13.273348519362187,62,2.359375,5,0.6560364464692483,64
443,13.460496613995485,57,13.18510158013544,54,2.2027027027027026,4,0.6320541760722348,74
449,14.367483296213809,71,12.922048997772828,51,2.1097560975609757,3,0.6146993318485523,82
461,13.342733188720173,56,13.696312364425163,52,2.3058823529411763,4,0.5748373101952278,85
457,12.247264770240701,52,13.584245076586432,67,2.2560975609756095,4,0.5951859956236324,82
467,13.490364025695932,58,12.73661670235546,58,2.1666666666666665,5,0.582441113490364,90
463,13.457883369330453,50,13.3585313174946,62,2.2386363636363638,4,0.5745140388768899,88
479,12.968684759916492,59,12.659707724425887,66,2.3214285714285716,4,0.592901878914405,84
487,14.026694045174539,51,14.248459958932239,73,2.324675324675325,4,0.6324435318275154,77
499,14.046092184368737,60,13.080160320641282,57,2.2934782608695654,4,0.5771543086172345,92
491,13.427698574338086,66,14.39918533604888,55,2.3333333333333335,6,0.6293279022403259,78
509,15.096267190569744,67,14.699410609037328,64,2.1951219512195124,4,0.6463654223968566,82
503,13.908548707753479,52,14.40755467196819,59,2.2467532467532467,5,0.6560636182902585,77
521,13.861804222648752,57,14.276391554702496,63,2.208791208791209,4,0.6142034548944337,91
541,14.489833641404806,58,14.245841035120147,66,2.2823529411764705,5,0.6414048059149723,85
523,13.749521988527725,56,14.533460803059274,64,2.3255813953488373,5,0.6175908221797323,86
547,15.19744058500914,56,14.182815356489945,57,2.21,4,0.5959780621572212,100
557,15.186714542190305,63,15.03052064631957,62,2.216867469879518,4,0.6696588868940754,83
563,15.873889875666075,68,14.426287744227354,75,2.230769230769231,3,0.6394316163410302,91
577,15.712305025996534,56,15.504332755632582,78,2.1530612244897958,3,0.634315424610052,98
587,15.321976149914821,62,15.923339011925043,69,2.1666666666666665,3,0.6013628620102215,108
569,15.493848857644991,73,15.210896309314586,70,2.2444444444444445,5,0.6449912126537786,90
571,14.126094570928196,57,14.854640980735551,71,2.276595744680851,6,0.6252189141856392,94
599,15.223706176961603,58,15.015025041736227,69,2.2735849056603774,5,0.5976627712854758,106
593,14.715008431703204,64,15.54637436762226,72,2.24468085106383,4,0.6441821247892074,94
601,15.337770382695508,58,15.662229617304492,73,2.233009708737864,4,0.6173044925124792,103
607,15.449752883031302,63,16.10543657331137,78,2.3793103448275863,4,0.6589785831960461,87
619,15.518578352180937,79,14.79967689822294,61,2.168067226890756,4,0.5831987075928917,119
617,15.645056726094003,68,16.354943273905995,76,2.220183486238532,5,0.6077795786061588,109
613,14.900489396411093,88,16.138662316476346,64,2.28125,4,0.6427406199021207,96
631,16.247226624405705,75,15.538827258320127,65,2.267326732673267,5,0.6370839936608558,101
653,15.5635528330781,76,16.361408882082696,80,2.315315315315315,5,0.6064318529862175,111
643,15.7651632970451,73,15.273716951788492,66,2.238532110091743,3,0.6205287713841369,109
647,16.81916537867079,69,15.582689335394127,73,2.3173076923076925,4,0.6275115919629057,104
641,15.698907956318253,72,16.38377535101404,60,2.307017543859649,4,0.5897035881435257,114
659,15.933232169954476,79,15.955993930197268,73,2.2695652173913046,5,0.6039453717754173,115
677,16.47267355982275,73,15.559822747415067,73,2.2752293577981653,5,0.6336779911373708,109
673,16.2704309063893,68,16.12630014858841,67,2.2016806722689077,4,0.6106983655274889,119
661,15.496217851739788,76,16.30408472012103,63,2.25,5,0.659606656580938,100
691,15.90014471780029,66,15.50506512301013,76,2.1870503597122304,4,0.5600578871201157,139
683,16.67349926793558,75,16.27818448023426,68,2.315315315315315,5,0.623718887262079,111
719,16.79415855354659,71,17.09874826147427,80,2.3333333333333335,6,0.5910987482614742,126
701,16.385164051355208,70,17.124108416547788,79,2.2410714285714284,7,0.6419400855920114,112
709,17.277856135401976,91,16.493653032440058,81,2.212962962962963,5,0.6629055007052186,108
733,17.096862210095498,72,16.31923601637108,83,2.255813953488372,4,0.6030013642564802,129
727,17.321870701513067,65,17.140302613480056,67,2.2231404958677685,5,0.6299862448418156,121
739,17.175913396481732,74,18.19621109607578,79,2.190082644628099,5,0.6414073071718539,121
743,17.328398384925976,89,17.036339165545087,87,2.1846153846153844,4,0.6177658142664872,130
757,17.512549537648614,79,17.20343461030383,73,2.234375,4,0.6221928665785997,128
761,16.9053876478318,67,17.465177398160314,80,2.2913385826771653,4,0.6176084099868594,127
751,16.71238348868176,69,17.018641810918776,90,2.282258064516129,6,0.6231691078561917,124
769,17.37191157347204,78,17.30559167750325,77,2.3046875,5,0.6163849154746424,128
787,18.20838627700127,74,17.42566709021601,84,2.2517985611510793,5,0.602287166454892,139
797,17.365119196988708,74,17.858218318695105,81,2.2814814814814817,5,0.6135508155583438,135
809,17.814585908529047,82,17.49320148331273,80,2.23943661971831,5,0.6069221260815822,142
773,17.041397153945667,97,17.27425614489004,77,2.259259259259259,4,0.6054333764553687,135
823,17.726609963547997,74,18.38760631834751,99,2.1641791044776117,5,0.6476306196840826,134
821,18.233861144945188,92,17.672350791717417,84,2.2302158273381294,6,0.6224116930572473,139
811,17.897657213316894,79,17.727496917385942,75,2.2444444444444445,5,0.6263871763255241,135
827,17.79806529625151,76,17.975816203143893,113,2.2890625,4,0.6457073760580411,128
839,18.93206197854589,87,17.61740166865316,83,2.1448275862068966,5,0.6293206197854588,145
829,18.150784077201447,72,18.00965018094089,76,2.25,4,0.6308805790108565,136
853,18.49824150058617,79,17.954279015240328,77,2.2,4,0.6260257913247362,145
857,18.929988331388564,80,18.088681446907817,118,2.239130434782609,5,0.6394399066511085,138
859,18.09313154831199,71,18.848661233993017,100,2.2291666666666665,5,0.6263096623981373,144
863,19.314020857473928,85,18.49478563151796,84,2.264705882352941,6,0.6431054461181923,136
881,18.670828603859253,98,18.16799091940976,79,2.308219178082192,5,0.6174801362088536,146
877,18.639680729760546,84,18.2405929304447,81,2.251700680272109,5,0.6225769669327252,147
883,17.861834654586637,97,17.95356738391846,84,2.357615894039735,5,0.5968289920724802,151
887,18.73055242390079,89,19.602029312288614,100,2.1654676258992804,4,0.6606538895152199,139
907,19.004410143329658,84,17.942668136714442,93,2.2335329341317367,5,0.5887541345093715,167
911,18.870472008781558,87,18.972557628979143,82,2.233128834355828,5,0.6004390779363337,163
919,18.515778019586506,78,19.443960826985855,84,2.3453237410071943,5,0.6452665941240479,139
929,19.529601722282024,86,18.745963401506998,75,2.3398692810457518,6,0.6146393972012917,153
941,19.59086078639745,81,18.487778958554728,104,2.2160493827160495,5,0.6184909670563231,162
937,19.8153681963714,91,18.832443970117396,86,2.2653061224489797,4,0.6446104589114194,147
947,18.414994720168956,101,19.413938753959872,76,2.272727272727273,5,0.604012671594509,165
